Lenny is superior, than homer
Yfm is better, than Gorrilaz
If you like Loli, go to jail
Please kill, me
I punched, an orphan
Why is Demon Slayer, Rated R
High Quality Rips, arent funny anymore
My Patreon Exists, I'm poor
Please don't draw Lenny, porn
I'm underage, bitches
Sex 3 is coming out today, jk
Mat. Has a, fat asshole
Steve is secretly, scott the woz
Dude Dj popsicle is better, than your mom
Please donate to my Patreon, I'm poor
Sans, pee pee
Hey Worthikids, do a Simpsons couch gag please
I want to see Ufunkin, marry LtSazo
The maggie simpsons shorts suck ass, make a short of bart or a side character
Please put the Versus Lenny songs in, Funky Friday please I'm dying
Dababy is not funny, shut the fuck up
Watch Invincible on, amazon prime
Please don't draw Porn of, Lenny
I consent fanart of Vs Lenny, no Porn tho
You know who's obese, Nyx the shield
Fix your damn chart, mid fight masses
Helpful fox senko, is a bad anime try me
Take down x event Nyx, or Gamebanana
Frogger sounds, like a slur
C'mon, stupid game
Please dont make Lenny corruption, why would you do that
I'm Chilean American But I dont know spanish, Please teach me spanish
Go watch the Mitchells vs the, machines on netflix now
I hope LsMark, plays this
I havent played any other game, since the Knockout city beta ended help
Please make Lenny vs Shaggy ugh, for the love of god
go listen to, all the night by myysk
